,0,1,0,1
804,고,EC,그렇,VA
805,사장,NNG,기,ETN
806,님,XSN,때문,NNB
807,께서,JKS,에,JKB
808,감사,NNG,양양,NNP
809,하,XSV,의,JKG
810,게,EC,서핑,NNG
811,도,JX,리조트,NNG
812,저녁,NNG,들,XSN
813,을,JKO,은,JX
814,같이,MAG,대부분,NNG
815,먹,VV,사장,NNG
816,자고,EC,님,XSN
817,제안,NNG,과,JC
818,하,XSV,숙박,NNG
819,아,EC,객,NNG
820,주,VX,여럿,NNG
821,시,EP,이,JKS
822,었,EP,모여,VV+EC
823,어요,EC,소모임,NNG
824,원래,NNG,이,JKS
825,힐,NNP,형성,NNG
826,비치,NNP,되,XSV
827,서,NNP,어,EC
828,프리,NNP,있,VX
829,조,NNP,는,ETM
830,트,VV,듯,NNB
831,는,ETM,했,VV+EP
832,저녁,NNG,어요,EF
833,을,JKO,힐,NNP
834,제공,NNG,비치,NNP
835,하,XSV,서프,NNP
836,거나,EC,리조트,NNG
837,파티,NNG,에,JKB
838,를,JKO,도,JX
839,열,VV,주기,NNG
840,는,ETM,적,XSN
841,숙소,NNG,으로,JKB
842,가,JKS,서핑,NNG
843,아니,VCN,하,XSV
844,ㄴ데,EC,러,EC
845,도,JX,오,VV
846,저희,NP,는,ETM
847,를,JKO,서퍼,NNP
848,챙기,VV,분,XSN
849,어,EC,들,XSN
850,주,VX,이,JKS
851,시,EP,계셨,VV+EP
852,ㄴ,ETM,는데,EC
853,거,NNB,",",SC
854,죠,EC,양양,NNP
855,서핑,NNP,에,JKB
856,을,JKO,식당,NNG
857,즐기,VV,이,JKS
858,시,EP,마땅,XR
859,는,ETM,치,XSA+EC
860,서,VV,않,VX
861,어,EC,다,EC
862,퍼붓,VV,보,VX
863,ㄴ들,EC,니,EC
864,은,JX,그분,NP
865,보통,MAG,들,XSN
866,양양,NNP,끼리,XSN
867,을,JKO,식사,NNG
868,매주,MAG,를,JKO
869,오,VX,만들,VV
870,시,EP,어서,EC
871,는데,EC,드,VX
872,",",SP,시,EP
873,그렇,VA,더라고요,EC
874,기,ETN,감사,NNG
875,때문,NNB,하,XSV
876,에,JKB,게,EC
877,양양,NNP,도,JX
878,의,JKG,그,MM
879,서핑,NNP,식사,NNG
880,리조트,NNP,자리,NNG
881,들,XSN,에,JKB
882,은,JX,저희,NP
883,대부분,NNG,를,JKO
884,사장,NNG,초대,NNG
885,님,XSN,해,XSV+EC
886,과,JC,주,VX
887,숙박,NNP,신,EP+ETM
888,객,NNG,거,NNB
889,여럿,NNG,예요,VCP+EF
890,이,JKS,이날,NNG
891,모이,VV,의,JKG
892,어,EC,저녁,NNG
893,소,XPN,메뉴,NNG
894,모임,NNP,는,JX
895,이,JKS,밀푀유,NNP
896,형성,NNG,나베,NNG
897,되,XSV,와,JC
898,어,EC,모츠,NNP
899,있,VV,나베,NNG
900,는,ETM,:,SC
901,듯,NNB,),SSC
902,하,VV,햄버거,NNP
903,았,EP,",",SC
904,어요,EC,핫도그,NNG
905,힐,NNP,로,JKB
906,비치,NNP,보통,NNG
907,서,NNP,끼니,NNG
908,프리,NNP,를,JKO
909,조,NNP,간단히,MAG
910,트,VV,해결,NNG
911,에,EC,하,XSV
912,도,JX,는,ETM
913,주기,NNG,양양,NNG
914,적,XSN,에서,JKB
915,으로,JKB,이런,MM
916,서핑,NNG,맛있,VA
917,하,XSV,는,ETM
918,러,EC,음식,NNG
919,오,VV,을,JKO
920,는,ETM,먹,VV
