,word,counted
666,태양,161
667,경험,161
668,후진,161
669,차이,161
670,주문진,160
671,예정,160
672,만전,160
673,권력,160
674,추억,159
675,11월,159
676,국도,159
677,안내,159
678,토지,158
679,추가,158
680,성장,158
681,울릉도,158
682,기지,157
683,주의,157
684,사마의,157
685,당초,156
686,석세,156
687,미래,156
688,부모,156
689,관음,156
690,군웅,156
691,이익,155
692,화살,155
693,형성,155
694,활용,155
695,영화,155
696,기업,155
697,삼국,155
698,존재,154
699,왕도,154
700,관광객,154
701,터미널,154
702,만원,154
703,의견,153
704,경주,153
705,대로,153
706,물질,152
707,대가,152
708,제공,152
709,글자,152
710,변경,152
711,활약,152
712,기운,151
713,속도,151
714,기관,150
715,강습,150
716,대중,150
717,한시,150
718,폐위,149
719,제안,149
720,약속,149
721,일부,149
722,도달,149
723,비교,149
724,혜원,149
725,마찬가지,149
726,연합,149
727,커피,149
728,용맹,149
729,군주,148
730,보물,148
731,한족,148
732,회사,148
733,주민,147
734,투자,147
735,가난,147
736,자료,147
737,여유,147
738,건립,147
739,행동,146
740,장악,145
741,맛집,145
742,성인,145
743,스승,145
744,편안,145
745,버섯,145
746,죽도,145
747,개월,145
748,속초시,144
749,영웅,144
750,의암,144
751,근심,144
752,지류,144
753,거짓,144
754,갈족,144
755,완성,144
756,수급,144
757,국민,143
758,강화,143
759,기념,143
760,장사,143
761,행군,143
762,번성,143
763,카페,143
764,계단,142
765,발행,142
766,마무리,142
767,금강산,142
768,배치,142
769,푸른,142
770,걷기,142
771,수레,141
772,게임,141
773,얘기,141
774,진영,141
775,공동,141
776,도안,140
777,저항,140
778,진압,140
779,남양군,140
780,출처,140
781,하남,140
782,사장,140
783,경도,140
784,주유,140
785,감상,139
786,본인,139
787,전량,139
788,복병,139
789,걸음,139
790,의병,139
791,해서,139
792,요청,139
793,심층,138
794,완전,138
795,봉우리,138
796,기재,138
797,형세,138
798,고대,138
799,막장,138
800,대수,138
801,외교,138
802,수정,137
803,발해,137
804,과학,137
805,북상,137
806,언덕,137
807,진입,137
808,문추,137
809,목적,137
810,원주,137
811,수장,136
812,잔당,136
813,무양,136
814,참여,136
815,심배,136
816,습격,136
817,문학,136
818,진궁,136
819,위로,136
820,위나라,135
821,전주,135
822,분위기,135
823,가야,135
824,대화,135
825,인기,135
826,교황,135
827,길이,135
828,선조,135
829,복속,134
830,교현,134
831,신이,134
832,상징,134
833,아빠,134
834,기사,134
835,대형,133
836,개국,133
837,사신,133
838,고생,133
839,라면,133
840,왕맹,133
841,대립,133
842,세월,133
843,최대,133
844,초기,133
845,민간,132
846,종요,132
847,부여,132
848,업체,132
849,시내,132
850,몽고,132
851,집중,132
852,지혜,132
853,비행,132
854,대응,132
855,사전,132
856,유요,131
857,진수,131
858,편지,131
859,구조,131
860,영토,131
861,명장,131
862,부부,131
863,대치,130
864,안개,130
865,남은,130
866,개최,130
867,정권,130
868,원년,130
869,견제,130
870,행정,130
871,근무,129
872,강현면,129
873,명령,129
874,인제,129
875,결혼,129
876,정토,129
877,동산,128
878,보호,128
879,당도,128
880,서서,128
881,하비,128
882,평창,128
883,역할,128
884,임경업,128
885,음악,128
886,독음,128
887,기세,128
888,지경,127
889,왕조,127
890,책략,127
891,구축,127
892,전망,127
893,친정,127
894,실수,126
895,후회,126
896,잘못,126
897,부근,126
898,산불,126
899,보드,126
900,상국,126
901,터널,126
902,남녀,126
903,유배,126
904,출전,126
905,물고기,126
906,선봉,125
907,구제,125
908,나머지,125
909,이벤트,125
910,자체,125
911,울진,125
912,의식,125
913,고도,124
914,부친,124
915,양자,124
916,주행,124
917,조카,124
918,풍속,124
919,석탑,123
920,신앙,123
921,전설,123
922,인지,123
923,건설,123
924,충성,123
925,가수,122
926,봉기,122
927,벽화,122
928,위산,122
929,국왕,122
930,사냥,122
931,한참,122
932,전통,122
933,포기,122
934,출입,122
935,현장,122
936,성의,122
937,패배,122
938,도하,122
939,농업,121
940,다수,121
941,이주,121
942,유방,121
943,염위,121
944,약수,121
945,고간,121
946,생일,121
947,조각,121
948,소용,121
949,사방,121
950,보기,121
951,실제,120
952,재물,120
953,요구,120
954,서량,120
955,생산,120
956,낙산도립공원,120
957,지속,120
958,법정,120
959,스스로,119
960,학생,119
961,방송,119
962,자동차,119
963,바다낚시,119
964,가자미,119
965,삼거리,119
966,벼슬,119
967,요서,119
968,모아,119
969,6월,119
970,부홍,118
971,회의,118
972,장인,118
973,주말,118
974,시험,118
975,강제,118
976,부임,118
977,금지,118
978,회복,118
979,나름,118
980,오징어,118
981,손수,118
982,합류,117
983,후퇴,117
984,참가,117
985,미시령,117
986,배경,117
987,만세,117
988,무기,117
989,경사,117
990,포구,117
991,체제,117
992,재미,117
993,무료,117
994,만족,117
995,승진,117
996,선상,117
997,원수,117
998,원군,117
999,대학,116
1000,육성,116
1001,보급,116
1002,패키지,116
1003,주위,116
1004,천지,116
1005,화장실,116
1006,이민족,116
1007,그 후,116
1008,보리밭,115
1009,유벽,115
1010,기가,115
1011,기존,115
1012,명칭,115
1013,형님,115
1014,수습,115
1015,자손,115
1016,사수,115
1017,도주,115
1018,침략,114
1019,내일,114
1020,지식,114
1021,군령,114
1022,유연,114
1023,이수,114
1024,지도자,114
1025,각개,114
1026,판매,114
1027,인천,114
1028,처형,113
1029,회원,113
1030,세대,113
1031,아비,113
1032,공부,113
1033,충격,113
1034,남애항,113
1035,러시아,113
1036,그동안,113
1037,건의,113
1038,동네,113
1039,설득,113
1040,각지,113
1041,역병,113
1042,이간,113
1043,요리,112
1044,공기,112
1045,연계,112
1046,수준,112
1047,권모술수,112
1048,한곳,112
1049,건국,112
1050,축제,112
1051,하나님,112
1052,리에,112
1053,원희,112
1054,관광지,112
1055,장양,111
1056,편리,111
1057,석감,111
1058,선정,111
1059,관람,111
1060,조운,111
1061,각종,111
1062,지구,111
1063,특징,111
1064,감정,111
1065,모용수,111
1066,승려,111
1067,공손강,110
1068,올림픽,110
1069,무장,110
1070,교회,110
1071,개선,110
1072,석홍,110
1073,그릇,110
1074,양추,110
1075,통합,110
1076,매력,110
1077,신사,110
1078,몽골,110
1079,덕분,109
1080,국군,109
1081,강조,109
1082,기자,109
1083,지리,109
1084,도연명,109
1085,스팅,109
1086,투어,109
1087,공장,109
1088,소요,109
1089,휴가,109
1090,대승,109
1091,분야,109
1092,만일,109
1093,강사,109
1094,효과,109
1095,상승,109
1096,하기,108
1097,킬로,108
1098,기능,108
1099,선물,108
1100,중생,108
1101,용병,108
1102,다운,108
1103,초입,108
1104,그런지,108
1105,성도,107
1106,인연,107
1107,소재,107
1108,방면,107
1109,총애,107
1110,캠핑,107
1111,자랑,107
1112,사기,107
1113,의사,107
1114,근거지,107
1115,춘추,106
1116,수군,106
1117,화공,106
1118,기독교,106
1119,경치,106
1120,선생님,106
1121,인민군,106
1122,소속,106
1123,사당,106
1124,개통,106
1125,진동,105
1126,거절,105
1127,번역,105
1128,크기,105
1129,지대,105
1130,상당,105
1131,하산,105
1132,비용,105
1133,예측,105
1134,영거,105
1135,정선,105
1136,대국,105
1137,공주,104
1138,뿌리,104
1139,인조,104
1140,사마,104
1141,반격,104
1142,제외,104
1143,전기,104
1144,회장,104
1145,개척,104
1146,-1,104
1147,자칭,104
1148,장이,104
1149,공급,103
1150,부탁,103
1151,온천,103
1152,호응,103
1153,적벽,103
1154,얼음,103
1155,전골,103
1156,근방,103
1157,해양,103
1158,대항,103
1159,후손,103
1160,감동,103
1161,손님,103
1162,생명,102
1163,절대,102
1164,독려,102
1165,앞으로,102
1166,교통,102
1167,방어,102
1168,무릇,102
1169,별자리,102
1170,부도,102
1171,조약,102
1172,일제,102
1173,포인트,102
1174,황소,102
1175,개혁,102
1176,지휘관,101
1177,진언,101
1178,조언,101
1179,오색,101
1180,네이버,101
1181,상장,101
1182,국제,101
1183,동상,101
1184,일출,101
1185,거북이,101
1186,즐거움,101
1187,부하,101
1188,조서,101
1189,경전,101
1190,사직,101
1191,산이,101
1192,자원,100
1193,곳곳,100
1194,남송,100
1195,바닷물,100
1196,도전,100
1197,맞이,100
1198,한계령,100
1199,치료,100
1200,전해,100
1201,소가,100
1202,영천,100
1203,미군,99
1204,적극,99
1205,유성,99
1206,수립,99
1207,허유,99
1208,다행,99
1209,국사,99
1210,사정,99
1211,회전,99
1212,천도,99
1213,전방,99
1214,발각,99
1215,서비스,98
1216,구매,98
1217,산책,98
1218,사가,98
1219,손책,98
1220,10분,98
1221,귀신,98
1222,창건,98
1223,사후,98
1224,농성,98
1225,지세,98
1226,한번,98
