,word,counted
552,스타,30
553,일행,30
554,간식,30
555,사온,30
556,즐거움,29
557,비린내,29
558,개불,29
559,이면,29
560,미역,29
561,치즈,29
562,껍질,29
563,다래,29
564,계단,29
565,객실,29
566,약간,29
567,체크아웃,29
568,계절,29
569,평소,29
570,현북면,29
571,텐트,29
572,여기저기,29
573,그동안,29
574,인터넷,29
575,연결,29
576,양도,29
577,제주도,29
578,대형,29
579,갈매기,29
580,연휴,29
581,토요일,29
582,구성,29
583,계속,29
584,도다리,28
585,아바이마을,28
586,영업,28
587,조성,28
588,고추장,28
589,지난번,28
590,완벽,28
591,조명,28
592,가운데,28
593,어치,28
594,낙지,28
595,요건,28
596,인테리어,28
597,일상,28
598,택배,28
599,환영,28
600,해장,28
601,양양가,28
602,주문진읍,28
603,상차림,28
604,명태,28
605,예상,28
606,손맛,28
607,서울로,28
608,주시,28
609,자랑,27
610,연인,27
611,스키,27
612,주의,27
613,어린이,27
614,래미,27
615,후회,27
616,고급,27
617,기가,27
618,다행,27
619,제철,27
620,고향,27
621,생물,27
622,과정,27
623,바깥,27
624,영업시간,27
625,휴가철,27
626,어민,27
627,어선,27
628,양식,27
629,경포대,27
630,동호,27
631,실망,27
632,선장,27
633,중앙로,27
634,산마을,27
635,파란,27
636,테라스,27
637,유적,27
638,인가,27
639,인원,26
640,군데,26
641,입장료,26
642,전화번호,26
643,동생,26
644,하면,26
645,입안,26
646,유명한,26
647,에선,26
648,초보,26
649,신랑,26
650,수영,26
651,일차,26
652,비빔밥,26
653,의미,26
654,문제,26
655,박물관,26
656,동시,26
657,감탄,26
658,월요일,26
659,주인,26
660,문화,26
661,아무것,26
662,볶음,26
663,놀이,26
664,조림,26
665,한입,26
666,인생,26
667,기간,26
668,내장,26
669,건조,25
670,특유,25
671,첫날,25
672,정말,25
673,카메라,25
674,참기름,25
675,성비,25
676,나머지,25
677,완료,25
678,샤워,25
679,보통,25
680,앞바다,25
681,3분,25
682,아저씨,25
683,생활,25
684,내년,25
685,삼척,25
686,사골,25
687,작업,25
688,상추,25
689,목장,25
690,마리에,25
691,고등어,25
692,시기,25
693,영화,25
694,구명조끼,25
695,교육,24
696,모래사장,24
697,안나,24
698,관음,24
699,도시,24
700,건너편,24
701,이집,24
702,인당,24
703,막걸리,24
704,녀석,24
705,세팅,24
706,오신,24
707,청소,24
708,배경,24
709,의자,24
710,소문,24
711,와서,24
712,매장,24
713,단위,24
714,탑승,24
715,한눈,24
716,전경,24
717,성수기,24
718,하우스,24
719,아이스크림,24
720,약속,23
721,사찰,23
722,분도,23
723,계산,23
724,지점,23
725,소요,23
726,생태,23
727,도둑,23
728,마감,23
729,운치,23
730,시즌,23
731,그날,23
732,보드,23
733,강아지,23
734,양은,23
735,센스,23
736,봉수,23
737,진심,23
738,거실,23
739,샐러드,23
740,위주,23
741,장이,23
742,한쪽,23
743,자극,23
744,취향,23
745,니다,23
746,정동진,23
747,춘천,23
748,기념,23
749,사비,23
750,인심,23
751,차례,23
752,위생,23
753,매운맛,22
754,금액,22
755,정박,22
756,안목,22
757,장비,22
758,전골,22
759,잡기,22
760,포토,22
761,이국,22
